vm_id,cpu_cores,ram,bandwidth_req,net_1_load,net_1_latency,net_1_bandwidth_avail,net_2_load,net_2_latency,net_2_bandwidth_avail,net_3_load,net_3_latency,net_3_bandwidth_avail,net_4_load,net_4_latency,net_4_bandwidth_avail,net_5_load,net_5_latency,net_5_bandwidth_avail,net_6_load,net_6_latency,net_6_bandwidth_avail,net_7_load,net_7_latency,net_7_bandwidth_avail,net_8_load,net_8_latency,net_8_bandwidth_avail,net_9_load,net_9_latency,net_9_bandwidth_avail,net_10_load,net_10_latency,net_10_bandwidth_avail,net_11_load,net_11_latency,net_11_bandwidth_avail,net_12_load,net_12_latency,net_12_bandwidth_avail,net_13_load,net_13_latency,net_13_bandwidth_avail,net_14_load,net_14_latency,net_14_bandwidth_avail,net_15_load,net_15_latency,net_15_bandwidth_avail,net_16_load,net_16_latency,net_16_bandwidth_avail,net_17_load,net_17_latency,net_17_bandwidth_avail,net_18_load,net_18_latency,net_18_bandwidth_avail,net_19_load,net_19_latency,net_19_bandwidth_avail,net_20_load,net_20_latency,net_20_bandwidth_avail,label_network_id,task_completion_time,throughput_achieved,task_type
1,1,2048,283,0.28,9.24,1186,0.25,8.73,1019,0.46,11.83,879,0.59,13.88,821,0.04,5.65,1056,0.15,12.20,863,0.16,12.39,1055,0.16,12.34,1013,0.47,16.98,1180,0.57,18.56,895,0.26,13.95,1000,0.17,12.52,1174,0.00,10.04,529,0.35,15.27,805,0.11,11.58,1076,0.40,26.06,1109,0.51,27.58,993,0.31,24.70,1167,0.13,21.90,926,0.27,24.06,852,13,10.00,265.52,cpu_bound
3,2,4096,68,0.50,12.45,869,0.34,10.15,1080,0.53,12.98,1197,0.24,8.65,835,0.19,7.84,1168,0.15,12.19,1110,0.19,12.83,973,0.57,18.52,965,0.00,10.01,864,0.43,16.50,840,0.52,17.84,945,0.39,15.84,1104,0.05,10.80,974,0.09,11.37,1044,0.14,12.06,1079,0.07,21.01,1155,0.56,28.44,937,0.45,26.77,1085,0.15,22.24,1052,0.32,24.79,1094,9,75.00,61.18,mixed
5,2,2048,92,0.11,6.62,1127,0.27,9.08,918,0.41,11.08,1157,0.14,7.14,1134,0.54,13.16,1149,0.38,15.64,1109,0.50,17.46,1142,0.47,17.11,883,0.06,10.96,1189,0.03,10.41,720,0.24,13.54,924,0.42,16.32,967,0.16,12.37,801,0.37,15.51,811,0.09,11.37,1052,0.51,27.62,1149,0.08,21.14,926,0.17,22.54,943,0.34,25.06,888,0.17,22.54,1096,10,75.00,86.49,mixed
7,1,4096,298,0.03,5.48,628,0.23,8.38,1104,0.56,13.46,1007,0.47,12.03,904,0.41,11.22,834,0.31,14.68,988,0.18,12.76,1186,0.40,15.93,946,0.14,12.04,983,0.39,15.89,1034,0.28,14.16,1180,0.45,16.75,1043,0.36,15.33,1068,0.60,18.95,1033,0.60,18.93,1123,0.05,20.78,1087,0.38,25.63,1169,0.32,24.80,1167,0.31,24.67,1033,0.41,26.19,838,1,50.00,264.10,io_bound
8,2,512,207,0.15,7.23,1176,0.10,6.53,876,0.11,6.63,1179,0.25,8.77,1136,0.54,13.13,869,0.17,12.48,914,0.26,13.85,966,0.44,16.54,1160,0.54,18.05,1107,0.56,18.33,803,0.46,16.97,952,0.08,11.13,939,0.53,17.94,1199,0.09,11.30,1172,0.07,11.07,652,0.47,27.12,947,0.55,28.24,1092,0.58,28.75,1075,0.27,24.12,1004,0.21,23.19,804,15,25.00,182.49,io_bound
9,1,512,187,0.42,11.26,821,0.05,5.81,1116,0.27,9.09,991,0.35,10.20,969,0.12,6.80,1102,0.01,10.12,802,0.41,16.11,1024,0.15,12.22,1022,0.48,17.21,1061,0.54,18.10,959,0.16,12.37,1001,0.12,11.83,1033,0.02,10.31,1077,0.30,14.53,1197,0.17,12.55,1120,0.03,20.49,896,0.02,20.29,875,0.00,20.04,852,0.51,27.72,987,0.55,28.27,1060,6,50.00,169.85,io_bound
10,2,4096,55,0.17,7.58,967,0.28,9.18,1086,0.08,6.25,1115,0.35,10.25,842,0.42,11.23,1135,0.24,13.62,1042,0.24,13.64,1199,0.17,12.49,883,0.31,14.59,1023,0.17,12.49,1030,0.05,10.72,1058,0.24,13.66,1071,0.36,15.45,1183,0.16,12.41,1079,0.60,18.98,1116,0.07,21.12,942,0.04,20.60,1188,0.33,25.01,993,0.08,21.13,829,0.59,28.79,981,11,25.00,49.47,io_bound
11,2,1024,71,0.19,7.79,1187,0.40,10.96,908,0.58,13.68,1077,0.26,8.92,993,0.17,7.52,897,0.24,13.53,1036,0.15,12.22,814,0.55,18.25,823,0.17,12.60,1094,0.20,13.04,1132,0.20,12.98,803,0.49,17.38,1122,0.56,18.33,863,0.11,11.68,830,0.46,16.90,1039,0.01,20.15,1059,0.19,22.85,1178,0.39,25.81,1089,0.55,28.32,1105,0.22,23.37,1179,16,75.00,64.41,mixed
13,1,1024,98,0.11,6.60,1040,0.42,11.24,1111,0.56,13.44,856,0.36,10.33,896,0.19,7.90,1148,0.53,17.91,1033,0.12,11.85,960,0.43,16.51,1057,0.17,12.61,1092,0.47,17.09,1121,0.55,18.25,960,0.38,15.73,984,0.21,13.21,949,0.50,17.43,1099,0.10,11.43,992,0.21,23.18,937,0.07,21.00,1038,0.51,27.66,944,0.46,26.93,1130,0.38,25.66,1046,1,50.00,80.81,io_bound
15,2,1024,270,0.52,12.84,1123,0.10,6.47,926,0.54,13.03,997,0.36,10.44,1163,0.51,12.70,1038,0.12,11.85,1121,0.01,10.19,665,0.40,16.07,1127,0.25,13.68,1129,0.23,13.39,906,0.33,15.02,959,0.58,18.73,873,0.60,18.93,1189,0.29,14.33,1104,0.53,17.92,975,0.35,25.29,948,0.08,21.25,984,0.46,26.87,861,0.21,23.17,1042,0.39,25.81,827,7,75.00,258.66,mixed
16,1,4096,228,0.29,9.36,1178,0.51,12.62,1119,0.14,7.03,1096,0.11,6.63,1062,0.09,6.29,1085,0.32,14.80,1035,0.55,18.30,1110,0.42,16.28,1132,0.56,18.44,856,0.47,17.01,1044,0.22,13.28,837,0.44,16.58,1181,0.47,16.99,804,0.58,18.65,888,0.19,12.85,964,0.52,27.80,1164,0.10,21.50,988,0.26,23.83,825,0.18,22.64,828,0.02,20.34,881,20,10.00,202.08,cpu_bound
17,2,2048,214,0.53,12.90,804,0.14,7.14,878,0.34,10.08,1083,0.57,13.50,831,0.27,9.02,988,0.15,12.22,1020,0.48,17.18,864,0.09,11.37,980,0.22,13.26,894,0.26,13.86,1004,0.11,11.65,1131,0.29,14.28,1153,0.34,15.07,1031,0.57,18.56,889,0.32,14.77,931,0.56,28.46,919,0.28,24.20,1099,0.42,26.26,1052,0.02,20.33,608,0.16,22.39,1089,19,5.00,203.18,cpu_bound
19,2,2048,58,0.07,6.11,1113,0.59,13.84,1086,0.05,5.79,1018,0.55,13.25,828,0.58,13.73,1151,0.47,16.98,927,0.16,12.36,995,0.15,12.29,802,0.15,12.30,960,0.14,12.13,1013,0.05,10.82,1155,0.39,15.87,928,0.52,17.78,981,0.46,16.97,1178,0.59,18.87,818,0.15,22.30,967,0.16,22.39,1057,0.40,26.02,890,0.40,26.05,1097,0.59,28.84,1006,3,25.00,53.49,io_bound
22,2,512,179,0.55,13.32,1127,0.08,6.14,1010,0.45,11.68,837,0.02,5.24,790,0.31,9.72,1073,0.06,10.87,1119,0.39,15.80,886,0.13,11.99,1012,0.23,13.51,802,0.37,15.57,1122,0.25,13.76,1095,0.39,15.80,936,0.42,16.29,1180,0.33,14.97,1155,0.20,12.97,888,0.54,28.11,1162,0.31,24.61,1162,0.56,28.46,851,0.18,22.71,866,0.31,24.68,1079,4,5.00,169.64,cpu_bound
24,1,1024,252,0.09,6.29,1103,0.05,5.74,1080,0.40,11.07,802,0.43,11.41,1007,0.28,9.13,1107,0.23,13.40,1049,0.38,15.77,1004,0.44,16.55,1029,0.03,10.42,935,0.32,14.80,810,0.54,18.09,1108,0.23,13.43,1012,0.30,14.51,912,0.43,16.46,862,0.17,12.50,1001,0.24,23.61,888,0.04,20.64,848,0.28,24.25,1138,0.22,23.37,871,0.33,24.98,1145,9,50.00,227.93,io_bound
26,2,512,74,0.31,9.69,922,0.40,10.99,1096,0.58,13.76,946,0.36,10.39,1075,0.36,10.37,1169,0.31,14.68,889,0.32,14.74,1157,0.54,18.12,881,0.30,14.45,867,0.19,12.84,822,0.19,12.79,926,0.42,16.37,1075,0.25,13.72,1095,0.26,13.86,1079,0.07,11.03,1008,0.27,24.09,1157,0.13,22.01,1071,0.19,22.90,913,0.60,29.00,846,0.25,23.82,1105,15,75.00,66.33,mixed
